Developing regions,"Country 
letter code",ISO code,CountryOld,Country,,EXCLUDE1isyes,Start year,End year,"Age 
range",Population type,Contraceptive-use-ANY,Contraceptive-use-MODERN,Contraceptive-use-TRADITIONAL,Note on country,Note on population,Note on methods,"Notes on residuals 
(Modern methods)","Notes on residuals 
(Traditional methods)",GEO biases (unknown direction),Non-pregnant and other positive biases,Negative bias,Modern method bias,Folk method positive bias,Unmet,Spacing,Limiting,,Data series/type,Sponsor,Source name,Data Catalogue ID
,DNK ,208,Denmark,Denmark,Denmark1970,0,1970,1971,<45,MW,67,54,13,,,Adjusted. Data pertain to methods used during  the last two months.,Including male and female sterilization.,,,,,,,,,,,National survey,,Danish Fertility Survey of 1970,5088
,DNK ,208,Denmark,Denmark,Denmark1975,0,1975.25,1975.33,18-44,MW,63,59.9,3.1,,,Data pertain to methods used during  the last two months.,Excluding male and female sterilization.,,,,,-,,,,,,National survey,,Danish Fertility Survey of 1975,5089
,DNK ,208,Denmark,Denmark,Denmark1988,0,1988,1989,15-44,SA,78,72,6,,Data pertain to sexually active women of reproductive age.,Adjusted.,,,,Data pertain to sexually active women of reproductive age.,,,,,,,,National survey,,Contraception Survey,2780
,DNK ,208,Denmark,Denmark,Denmark1991,0,1991.58,1993.16,15-49,SA,76.5,,,,Data pertain to women in a steady sexual relationship.,Figures by method do not add up to the total because some methods are used in combination.,,Including abstinence and withdrawal.,,Data pertain to women in a steady sexual relationship.,,,,,,,,National survey,,1991-1993 Infertility Survey,5588
developing,DJI ,262,Djibouti,Djibouti,Djibouti2002,0,2002.75,2002.95,15-49,MW,9,5.8,2.8,,,Figures by method do not add up to the total.,,Including breastfeeding.,,,,,,,,,,PAPFAM,,Enquête Djiboutienne sur la Santé de la Famille,167
developing,DJI ,262,Djibouti,Djibouti,Djibouti2006,0,2006.47,2006.64,15-49,MW,17.8,17.1,0.7,,,,,,,,,,,,,,,MICS3,,Enquête Djiboutienne à Indicateurs Multiples 2006,1922
developing,DJI ,262,Djibouti,Djibouti,Djibouti2012,0,2012.46,2012.76,15-49,MW,19,18,1,,,,,Including breastfeeding.,,,,,,,,,,PAPFAM,,Deuxième Enquête Djiboutienne sur la Santé de la Famille (EDSF/PAPFAM 2 – 2012),5568
developing,DMA ,212,Dominica,Dominica,Dominica1981,0,1981,1983,15-44,MW,62.3,57.5,2.3,,Data pertain to women exposed to the risk of pregnancy.,Figures by method do not add up to the total.,,,,Data pertain to women exposed to the risk of pregnancy.,,,,,,,,CPS,,Dominica 1981 Contraceptive Prevalence Survey,2714
developing,DMA ,212,Dominica,Dominica,Dominica1987,0,1987,1988,15-44,MW,49.8,47.9,1.9,,,,,Including rhythm and withdrawal.,,,,,,,,,,CCPS,,Contraceptive Prevalence Survey in Dominica,2768
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic1975,0,1975,1976,15-49,MW,31.8,26,5.8,,,,,Including douching.,,,,,,,,,,WFS,,Encuesta Nacional de Fecundidad de la República Dominicana 1975,734
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic1980,0,1980,1981,15-49,MW,42,35,6,,,Figures by method do not add up to the total.,"Including male and female sterilization, male condoms, injectables, IUD and vaginal barrier methods.","Including rhythm, withdrawal, abstinence and douching.",,,,,,,,,,WFS,,Encuesta Nacional de Fecundidad de la República Dominicana 1980,795
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic1983,0,1983,1984,15-49,MW,45.8,41.8,4,,,,,Including abstinence and douching.,,,,,,,,,,CPS,,Encuesta Nacional de Prevalecía del Uso de Anticonceptivos,132
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic1986,0,1986.67,1987,15-49,MW,49.8,46.5,3.3,,,,,Including folk methods.,,,,,Including folk methods.,19.4,10,9.4,,DHS,,Encuesta Demográfica y de Salud 1986,1711
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic1991,0,1991.5,1991.91,15-49,MW,56.4,51.7,4.7,,,,"Including male sterilization, injectables, implants and vaginal barrier methods.",,,,,,,19.4,9.1,10.3,,DHS,,Encuesta Demográfica y de Salud 1991,1671
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic1996,0,1996.67,1997,15-49,MW,63.7,59.2,4.4,,,,"Including male sterilization, injectables and vaginal barrier methods.",,,,,,,14.3,8.2,6,,DHS,,Encuesta Demográfica y de Salud 1996,1685
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic1999,0,1999.58,2000,15-49,MW,69.2,64.2,5,,,Adjusted.,,,,,,,,13.8,8.2,5.7,,DHS,,Encuesta Experimental de Demografía y de Salud 1999,1684
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic2000,0,2000.83,2000.94,15-49,MW,64.7,62.8,1.9,,,,,,,,,,,,,,,MICS2,,Encuesta por Conglomerados de Indicadores Múltiples 2000,1910
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic2002,0,2002.5,2003,15-49,MW,69.8,65.8,4,,,,,,,,,,,12.4,6.9,5.5,,DHS,,Encuesta Demográfica y de Salud 2002,1710
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic2006,0,2006.38,2006.53,15-49,MW,61.3,60,1.3,,,,"Including male sterilization, female condoms, implants and vaginal barrier methods.","Including lactational amenorrhea (LAM), rhythm and withdrawal.",,,,,,,,,,National survey,,Encuesta Nacional de Hogares de Propósitos Múltiples 2006,633
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic2007,0,2007.16,2007.66,15-49,MW,72.9,70,2.9,,,,,Including folk methods.,,,,,Including folk methods.,11.1,6.7,4.4,,DHS,,Encuesta Demográfica y de Salud 2007,49
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic2009,0,2009.98,2010.08,15-49,MW,73,71.1,1.9,,,,,Including lactational amenorrhea (LAM) and folk methods.,,,,,Including lactational amenorrhea (LAM) and folk methods.,,,,,DHS,,Encuesta Nacional de Hogares de Propósitos Múltiples (ENHOGAR 2009-2010),5591
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic2013,0,2013.5,2013.83,15-49,MW,71.9,68.7,3.2,,,,Including emergency contraception and female condoms.,,,,,,,10.8,6.9,4,,DHS,,Encuesta Demografica y de Salud Republica Dominicana 2013,5710
developing,DOM ,214,Dominican Republic,Dominican Republic,Dominican Republic2014,0,2014.41,2014.66,15-49,MW,69.5,68,1.5,,,Preliminary data.,,,,,,,,11.4,,,,MICS5,,Dominican Republic 2014 Multiple Indicator Cluster Survey,5674
developing,ECU ,218,Ecuador,Ecuador,Ecuador1979,0,1979.53,1979.95,15-49,MW,33.6,25.8,7.9,,,,,Including abstinence and douching.,,,,,,,,,,WFS,,Encuesta Nacional de Fecundidad 1979-1980,722
developing,ECU ,218,Ecuador,Ecuador,Ecuador1982,0,1982.67,1982.83,15-49,MW,39.9,32.9,7,,,,,Including douching and folk methods.,,,,,Including douching and folk methods.,,,,,CPS,,Encuesta Nacional de Salud Materno Infantil y Variables Demográficas,38
developing,ECU ,218,Ecuador,Ecuador,Ecuador1987,0,1987,1987.24,15-49,MW,44.3,35.8,8.4,,,,,,,,,,,24.2,10.8,13.4,,DHS,,Encuesta Demográfica y de Salud Familiar 1987,1683
developing,ECU ,218,Ecuador,Ecuador,Ecuador1989,0,1989.55,1989.75,15-49,MW,52.9,41.6,11.3,,,,,,,,,,,24.6,,,,RHS,,Encuesta Demográfica y de Salud Materna e Infantil 1989,676
developing,ECU ,218,Ecuador,Ecuador,Ecuador1994,0,1994.39,1994.62,15-49,MW,56.8,45.9,10.9,,,,,,,,,,,15.2,,,,RHS,,Encuesta Demográfica y de Salud Materna e Infantil 1994,143
developing,ECU ,218,Ecuador,Ecuador,Ecuador1999,0,1999,2000,15-49,MW,65.8,51.4,14.4,,,,,,,,,,,10,,,,RHS,,Encuesta Demográfica y de Salud Materna e Infantil 1999,7
developing,ECU ,218,Ecuador,Ecuador,Ecuador2004,0,2004.23,2004.57,15-49,MW,72.7,58.7,14,,,,,,,,,,,7.4,,,,RHS,,Encuesta Demográfica y de Salud Materna e Infantil 2004,667
developing,ECU ,218,Ecuador,Ecuador,Ecuador2012,0,2012.54,2012.96,15-49,MW,80.1,71.7,8.4,,,Figures by method do not add up to the total.,,,,,,,,8.8,,,,National survey,,Ecuador 2012 Encuesta Nacional de Salud y Nutrición,6000
developing,EGY ,818,Egypt,Egypt,Egypt1974,0,1974,1976,15-49,MW,24.9,22.4,2.4,,,Adjusted.,,"Including abstinence, rhythm and withdrawal.",,,,,,,,,,National survey,,National Fertility Survey 1974-1975,5092
developing,EGY ,818,Egypt,Egypt,Egypt1980,0,1980,1981,<44,MW,31.4,29.7,1.8,,Data pertain to women exposed to the risk of pregnancy.,Figures by method do not add up to the total.,,Including abstinence and folk methods.,,Data pertain to women exposed to the risk of pregnancy.,,,Including abstinence and folk methods.,,,,,WFS,,The Egyptian Fertility Survey 1980,22
developing,EGY ,818,Egypt,Egypt,Egypt1984,0,1984,1985,<50,MW,30.3,28.7,1.6,,,,,Including breastfeeding.,,,,,,,,,,CPS,,Contraceptive Prevalence Survey 1984,692
developing,EGY ,818,Egypt,Egypt,Egypt1988,0,1988.75,1989.08,15-49,MW,37.8,35.4,2.4,,,,,Including breastfeeding.,,,,,,,,,,DHS,,Egypt Demographic and Health Survey 1988,1831
developing,EGY ,818,Egypt,Egypt,Egypt1991,0,1991,1992,15-49,MW,47.6,44.3,3.3,,,,,Including breastfeeding.,,,,,,,,,,PAPCHILD,,Egypt Maternal and Child Health Survey,805
developing,EGY ,818,Egypt,Egypt,Egypt1992,0,1992.84,1993.16,15-49,MW,47.1,44.8,2.3,,,,,Including breastfeeding.,,,,,,22.9,7.1,15.8,,DHS,,Egypt Demographic ad Health Survey 1992,1832
developing,EGY ,818,Egypt,Egypt,Egypt1995,0,1995.83,1996.08,15-49,MW,47.9,45.5,2.4,,,,,Including breastfeeding.,,,,,,20.2,6.4,13.8,,DHS,,Egypt Demographic and Health Survey 1995,1829
developing,EGY ,818,Egypt,Egypt,Egypt1997,0,1997.92,1998.08,15-49,MW,54.5,51.8,2.6,,,,,Including breastfeeding.,,,,,,17.8,5.6,12.2,,DHS,,Interim Egypt Demographic and Health Survey 1997,656
developing,EGY ,818,Egypt,Egypt,Egypt1998,0,1998.83,1999,15-49,MW,51.7,49.5,2.3,,,,,Including breastfeeding.,,,,,,14.5,3.7,10.8,,DHS,,Interim Egypt Demographic and Health Survey 1998,643
developing,EGY ,818,Egypt,Egypt,Egypt2000,0,2000.08,2000.33,15-49,MW,56.1,53.9,2.2,,,,,Including breastfeeding.,,,,,,13.7,3.8,9.9,,DHS,,Egypt Demographic and Health Survey 2000,1830
developing,EGY ,818,Egypt,Egypt,Egypt2003,0,2003.33,2003.49,15-49,MW,60,56.6,3.4,,,,,Including breastfeeding.,,,,,,11.8,3.7,8.1,,DHS,,2003 Egypt Interim Demographic and Health Survey,778
developing,EGY ,818,Egypt,Egypt,Egypt2005,0,2005.25,2005.49,15-49,MW,59.2,56.5,2.7,,,,,Including breastfeeding.,,,,,,12.3,3.5,8.8,,DHS,,Egypt Demographic and Health Survey 2005,1806
developing,EGY ,818,Egypt,Egypt,Egypt2008,0,2008.16,2008.5,15-49,MW,60.3,57.6,2.7,,,,,Including breastfeeding.,,,,,,11.6,3.4,8.2,,DHS,,Egypt Demographic and Health Survey 2008,4685
developing,EGY ,818,Egypt,Egypt,Egypt2014,0,2014.25,2014.49,15-49,MW,58.5,56.9,1.6,,,,,Including breastfeeding.,,,,,,12.6,4.5,8.1,,DHS,,Egypt Demographic and Health Survey 2014,5711
developing,SLV ,222,El Salvador,El Salvador,El Salvador1975,0,1975,1976,15-44,MW,21.6,20,1.6,,,,"Including male and female sterilization, injectables and vaginal barrier methods.",Including rhythm and withdrawal.,,,,,,,,,,RHS,,Encuesta Nacional de Salud Familiar 1975,825
developing,SLV ,222,El Salvador,El Salvador,El Salvador1978,0,1978.5,1978.95,15-44,MW,34.4,32.3,2,,,,"Including male and female sterilization, injectables and vaginal barrier methods.",Including rhythm and withdrawal.,,,,,,,,,,RHS,,"Encuesta Nacional de Fecundidad, Planificación Familiar y Comunicación Masiva",673
developing,SLV ,222,El Salvador,El Salvador,El Salvador1985,0,1985.33,1985.58,15-44,MW,47.3,44.5,2.8,,,,,,,,,,,,,,,DHS,,Encuesta Nacional de Salud Familiar 1985,1672
developing,SLV ,222,El Salvador,El Salvador,El Salvador1988,0,1988.33,1988.56,15-44,MW,47.1,43.5,3.4,,,Figures by method do not add up to the total.,,,,,,,,16.2,,,,RHS,,Encuesta Nacional de Salud Familiar 1988,820
developing,SLV ,222,El Salvador,El Salvador,El Salvador1993,0,1993,1994,15-44,MW,53.3,48.4,5,,,,,,,,,,,15.8,,,,RHS,,Encuesta Nacional de Salud Familiar 1993,208
developing,SLV ,222,El Salvador,El Salvador,El Salvador1998,0,1998.32,1998.89,15-44,MW,60,54.7,5.3,,,,Including implants and vaginal barrier methods.,,,,,,,14.2,,,,RHS,,Encuesta Nacional de Salud Familiar 1998,746
developing,SLV ,222,El Salvador,El Salvador,El Salvador2002,0,2002,2004,15-44,MW,66.9,61.7,5.2,,,,,,,,,,,22.3,,,,RHS,,Encuesta Nacional de Salud Familiar 2002-2003,48
developing,SLV ,222,El Salvador,El Salvador,El Salvador2008,0,2008.27,2008.72,15-44,MW,72.3,66.1,6.2,,,,,,,,,,,18.4,,,,RHS,,Encuesta Nacional de Salud Familiar 2008,4949
developing,SLV ,222,El Salvador,El Salvador,El Salvador2014,0,2014.16,2014.74,15-49,MW,72,68,4,,,Preliminary data. Figures by method do not add up to the total.,,,,,,,,11,,,,MICS5,,El Salvador 2014 MICS,5561
developing,GNQ ,226,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea2000,0,2000,2001,15-49,MW,10.1,6.5,3.6,,,,,,,,,,,,,,,MICS2,,Equatorial Guinea Multiple Indicator Survey,1921
developing,GNQ ,226,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea2011,0,2011.5,2011.91,15-49,MW,12.6,9.5,3.1,,,,"Including emergency contraception, female condom and male sterilization.",,,,,,,33.8,21.8,12,,DHS,,Equatorial GuineaDemographic and Health Survey 2011,5052
developing,ERI ,232,Eritrea,Eritrea,Eritrea1995,0,1995.67,1996.08,15-49,MW,8,4,4,,,,,Including breastfeeding.,,,,,,29.7,22.7,7,,DHS,,1995 Eritrea Demographic and Health Survey,1835
developing,ERI ,232,Eritrea,Eritrea,Eritrea2002,0,2002.16,2002.58,15-49,MW,8,7.2,0.8,,,,,,,,,,,28.5,21.6,6.8,,DHS,,2002 Eritrea Demographic and Health Survey,1849
developing,ERI ,232,Eritrea,Eritrea,Eritrea2010,0,2010,2010.58,15-49,MW,8.4,7,1.3,,,,,,,,,,,27.4,20.6,6.8,,National survey,,Eritrea 2010 Population and Health Survey,5919
,EST ,233,Estonia,Estonia,Estonia1994,0,1994,1994.66,20-49,SA,70.3,56.4,13.8,,"Data pertain to sexually active, non-pregnant women.",Adjusted. Data pertain to methods used during the last month.,,,,"Data pertain to sexually active, non-pregnant women.",,,,,,,,FFS,,Estonian Fertility and Family Survey,2836
,EST ,233,Estonia,Estonia,Estonia2004,0,2004.67,2005.92,18-49,MW,63.44088498,57.94165715,5.499227825,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,GGS,,Estonia 2005 Gender and Generation Survey,5424
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia1990,0,1990,1991,15-49,MW,4.8,2.9,1.9,"Excluding Eritrea, Tigray, Asseb, Ogaden, parts of Gondar and Wello and nomadic populations.",Data pertain to non-pregnant women.,,,Including abstinence and folk methods.,"Excluding Eritrea, Tigray, Asseb, Ogaden, parts of Gondar and Wello and nomadic populations.",Data pertain to non-pregnant women.,,,Including abstinence and folk methods.,,,,,National survey,,1990 National Family and Fertility Survey,184
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia1997,0,1997,1998,15-49,MW,3.3,2.8,0.5,"Data pertain to urban areas and rural areas of Guraghe, Hadiya, North Omo, Timbaro (K.A.T.) and Sidamo.",Data pertain to non-pregnant women.,,"Including male and female sterilization, pills, injectables, IUD, male condoms and vaginal barrier methods.","Including rhythm, withdrawal, abstinence and breastfeeding.","Data pertain to urban areas and rural areas of Guraghe, Hadiya, North Omo, Timbaro (K.A.T.) and Sidamo.",Data pertain to non-pregnant women.,,,,,,,,National survey,,Southern Nations Community and Family Survey 1997 ,3082
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia2000,0,2000.08,2000.41,15-49,MW,8.1,6.3,1.7,,,,,,,,,,,36.6,20.9,15.7,,DHS,,2000 Ethiopia Demographic and Health Survey,1694
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia2005,0,2005.25,2005.66,15-49,MW,14.7,13.9,0.8,,,Figures by method do not add up to the total.,,,,,,,,36.1,19.5,16.6,,DHS,,2005 Ethiopia Demographic and Health Survey,1858
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia2010,0,2010.92,2011.41,15-49,MW,28.6,27.3,1.3,,,,"Including emergency contraception, female condom and male sterilization.",Including lactational amenorrhea (LAM).,,,,,,26.3,16.5,9.8,,DHS,,2011 Ethiopia Demographic and Health Survey,5053
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia2014,0,2014,2014.24,15-49,MW,33.37,32.75,0.62,,,,Including female condoms.,,,,,,,24.3,14.9,9.4,,PMA,,Ethiopia 2014 PMA2020 Round 1,5503
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia2014,0,2014.5,2015,15-49,MW,35.57,34.29,1.28,,,,Including female condoms.,,,,,,,24.1,15.1,9.1,,PMA,,Ethiopia 2014 PMA2020 Round 2,5765
developing,ETH ,231,Ethiopia,Ethiopia,Ethiopia2015,0,2015.25,2015.41,15-49,MW,37.93,35.87,2.06,,,,,,,,,,,24.4,15.4,9.1,,PMA,,Ethiopia 2015 PMA2020 Round 3,6001
developing,FJI ,242,Fiji,Fiji,Fiji1974,0,1974,1975,15-49,MW,40.9,35.1,5.8,,,,,Including abstinence.,,,,,,,,,,WFS,,The Fiji Fertility Survey 1974,3088
,FIN ,246,Finland,Finland,Finland1971,0,1971,1972,<45,EM,77,53.9,23.1,,Data pertain to ever-married women of reproductive age.,,Excluding male and female sterilization.,,,,,-,,,,,,National survey,,1971 Finnish Sex Life Survey ,5093
,FIN ,246,Finland,Finland,Finland1977,0,1977.16,1977.49,18-44,EM,80,77.2,2.8,,Data pertain to ever-married women of reproductive age.,,,,,,,,,,,,,National survey,,1977 Finnish Fertility Survey,5094
,FIN ,246,Finland,Finland,Finland1989,0,1989.58,1990.08,25-49,MW,77.4,75.4,2.1,,,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,FFS,,Finnish Fertility and Family Survey,2794
,FRA ,250,France,France,France1971,0,1971,1972,<45,EM,64,20.9,43.1,,Data pertain to ever-married women of reproductive age.,,Including vaginal barrier methods.,,,,,,,,,,,National survey,,Enquête sur la contraception en France en 1971,5095
,FRA ,250,France,France,France1977,0,1977.92,1979,20-44,MW,78.7,47.6,31.1,,,,Including male and female sterilization. ,,,,,,,,,,,WFS,,France 1977-1978 World Fertility Survey,3095
,FRA ,250,France,France,France1988,0,1988,1989,20-44,MW,81.2,66.6,14.6,,,,,,,,,,,,,,,National survey,,Enquête sur la Régulation des Naissances,2781
,FRA ,250,France,France,France1994,0,1994,1994.33,20-49,MW,74.5,69.3,5.3,,,,,,,,,,,7.4,,7.4,,FFS,,Survey on Family Situations and Employment 1994,2837
,FRA ,250,France,France,France2000,0,2000,2001,18-44,MW,81.8,76.5,5.3,,,Including some cases of sterilization for non-contraceptive reasons.,Including male and female sterilization.,,,,,+,,,,,,National survey,,Enquête Cohorte Contraception 2000,2897
,FRA ,250,France,France,France2004,0,2004.79,2005.12,15-49,MW,76.6,74.8,1.7,,,Including some cases of sterilization for non-contraceptive reasons.,"Including male and female sterilization, injectables and implants.",,,,,+,,1.7,,1.7,,National survey,,Enquête du Baromètre Santé 2005,4953
,FRA ,250,France,France,France2005,0,2005.73,2005.92,18-49,MW,74.77998363,73.35755219,1.422431437,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,GGS,,France 2005 Generations and Gender Survey ,5430
,FRA ,250,France,France,France2008,0,2008.8,2008.95,20-49,MW,76.36920249,74.07090724,2.298295258,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,GGS,,France 2008 Generations and Gender Survey ,5431
,FRA ,250,France,France,France2010,0,2010.41,2011.08,15-49,MW,83,77.3,5.7,,,,"Including implants, contraceptive patch, and contraceptive ring.",Including rhythm and withdrawal.,,,,,,,,,,National survey,,France 2013 Enquête Fecond,5589
developing,GAB ,266,Gabon,Gabon,Gabon2000,0,2000.5,2001.08,15-49,MW,32.7,13.4,19.4,,,,"Including male sterilization, female condoms, IUD, implants and vaginal barrier methods.",Including folk methods.,,,,,Including folk methods.,27.9,19.7,8.1,,DHS,,Enquête Démographique et de Santé Gabon 2000,1737
developing,GAB ,266,Gabon,Gabon,Gabon2012,0,2012,2012.41,15-49,MW,31.1,19.4,11.7,,,,"Including emergency contraception, female condom, implants, IUD and male sterilization.",,,,,,,26.5,18.7,7.7,,DHS,,Enquête Démographique et de Santé au Gabon 2012 (EDSG-II),5054
developing,GMB ,270,Gambia,Gambia,Gambia1990,0,1990,1991,15-49,MW,11.8,6.7,5.1,,,,,Including folk methods.,,,,,Including folk methods.,,,,,National survey,,Gambian Contraceptive Prevalence and Fertility Determinants Survey 1990,2797
developing,GMB ,270,Gambia,Gambia,Gambia2000,0,2000.33,2000.5,15-49,MW,9.5,8.7,0.8,,,,,,,,,,,,,,,MICS2,,The Gambia Multiple Indicator Cluster Survey 2000,1907
developing,GMB ,270,Gambia,Gambia,Gambia2001,0,2001.56,2001.85,15-49,MW,17.5,12.7,2.4,,,Figures by method do not add up to the total.,,Including folk methods.,,,,,Including folk methods.,,,,,National survey,,Mortality and Contraceptive Prevalence Survey 2001 ,2363
developing,GMB ,270,Gambia,Gambia,Gambia2010,0,2010.25,2010.66,15-49,MW,13.3,11.9,1.4,,,,"Including female sterilization, implants, IUD, male condom and withdrawal.",,,,,,,21.5,17,4.5,,MICS4,,The Gambia Multiple Indicator Cluster Survey 2010,4998
developing,GMB ,270,Gambia,Gambia,Gambia2013,0,2013.08,2013.33,15-49,MW,9,8.1,0.9,,,,,,,,,,,24.9,20,4.9,,DHS,,The Gambia Demographic and Health Survey 2013,5462
developing,GEO ,268,Georgia,Georgia,Georgia1999,0,1999.87,2000.2,15-44,MW,40.5,19.8,20.7,,,,Including emergency contraception.,,,,,,,23.8,5.7,18.1,,RHS,,"Women's Reproductive Health Survey Georgia, 1999-2000",107
developing,GEO ,268,Georgia,Georgia,Georgia2005,0,2005,2006,15-44,MW,47.3,26.6,20.7,,,,,,,,,,,16.3,4.3,12,,RHS,,Reproductive Health Survey Georgia 2005,715
developing,GEO ,268,Georgia,Georgia,Georgia2006,0,2006.16,2006.41,18-49,MW,45.56218491,31.10864437,14.45354054,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,GGS,,Georgia 2006 Generations and Gender Survey ,5433
developing,GEO ,268,Georgia,Georgia,Georgia2009,0,2009.25,2009.49,21-49,MW,35.46314227,26.69003129,8.773110985,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,GGS,,Georgia 2009 Generations and Gender Survey ,5432
developing,GEO ,268,Georgia,Georgia,Georgia2010,0,2010.75,2011.16,15-44,MW,53.4,34.7,18.5,,,,,,,,,,,12.3,,,,RHS,,Reproductive Health Survey Georgia 2010,5453
,DEU ,276,Germany,Germany,Germany1985,0,1985.75,1985.91,15-44,MW,77.9,67.6,10.3,Data pertain to the former Federal Republic of Germany.,,Adjusted.,,,Data pertain to the former Federal Republic of Germany.,,,,,,,,,National survey,,Survey of Family Planning Behaviour in the Federal Republic of Germany 1985,6030
,DEU ,276,Germany,Germany,Germany1992,0,1992.5,1992.58,20-39,MW,70.1,65.6,4.5,,,,,,,,,,,,,,,FFS,,German Fertility and Family Survey,2821
,DEU ,276,Germany,Germany,Germany2005,0,2005.14,2005.36,18-49,MW,66.24600552,61.59345718,4.65254834,,Data pertain to women with co-resident male partner.,Including some cases of sterilization for non-contraceptive reasons.,,,,,,+,,,,,,GGS,,Germany 2005 Generations and Gender Survey ,5434
developing,GHA ,288,Ghana,Ghana,Ghana1979,0,1979.16,1980.25,15-49,MW,9.5,5.5,4,,,,,Including abstinence and douching.,,,,,,,,,,WFS,,The Ghana Fertility Survey 1979-1980,658
developing,GHA ,288,Ghana,Ghana,Ghana1988,0,1988.08,1988.5,15-49,MW,12.9,5.2,7.7,,,,,,,,,,,35.2,26.2,9,,DHS,,Ghana Demographic and Health Survey 1988,1753
developing,GHA ,288,Ghana,Ghana,Ghana1991,0,1991,1993,15-49,MW,17.2,7.2,9.9,,,,Including female condoms.,Including abstinence and douching.,,,,,,,,,,LSMS,,Ghana Living Standards Survey 1991,2016
developing,GHA ,288,Ghana,Ghana,Ghana1993,0,1993.67,1994.16,15-49,MW,20.3,10.1,10.1,,,Figures by method do not add up to the total.,,,,,,,,36.9,24.8,12.1,,DHS,,Ghana Demographic and Health Survey 1993,1754
developing,GHA ,288,Ghana,Ghana,Ghana1998,0,1998,2000,15-49,MW,15,10.6,4.3,,,,Including female condoms.,Including abstinence and douching.,,,,,,,,,,LSMS,,Ghana Living Standards Survey 1998,2007
developing,GHA ,288,Ghana,Ghana,Ghana1998,0,1998.83,1999.16,15-49,MW,22,13.3,8.7,,,,,,,,,,,34.7,22.5,12.3,,DHS,,Ghana Demographic and Health Survey 1998,1751
developing,GHA ,288,Ghana,Ghana,Ghana2003,0,2003.5,2003.83,15-49,MW,25.2,18.7,6.5,,,,,Including folk methods.,,,,,Including folk methods.,34.5,20.7,13.7,,DHS,,Ghana Demographic and Health Survey 2003,1752
developing,GHA ,288,Ghana,Ghana,Ghana2005,0,2005.67,2006.75,15-49,MW,24.2,16.7,7.4,,,,,Including abstinence.,,,,,,,,,,LSMS,,Ghana Living Standards Survey 2005-2006,4954
developing,GHA ,288,Ghana,Ghana,Ghana2006,0,2006.58,2006.83,15-49,MW,16.6,14,2.7,,,,,,,,,,,,,,,MICS3,,Ghana Multiple Indicator Cluster Survey 2006,166
developing,GHA ,288,Ghana,Ghana,Ghana2008,0,2008.67,2008.92,15-49,MW,23.5,16.6,6.9,,,Figures by method do not add up to the total.,,Including folk methods.,,,,,Including folk methods.,35.7,21.5,14.2,,DHS,,Ghana Demographic and Health Survey 2008,4688
developing,GHA ,288,Ghana,Ghana,Ghana2011,0,2011.67,2012,15-49,MW,34.7,24.9,9.8,,,Figures by method do not add up to the total.,,,,,,,,26.4,16.3,10.1,,MICS,,Ghana Multiple Indicator Cluster Survey 2011,5000
developing,GHA ,288,Ghana,Ghana,Ghana2013,0,2013.67,2013.91,15-49,MW,19.83,18.2,1.63,,,,,,,,,,,37.2,24.4,12.8,,PMA,,Ghana 2013 PMA2020,5602
developing,GHA ,288,Ghana,Ghana,Ghana2014,0,2014.08,2014.41,15-49,MW,19.6,17.59,2.01,,,,,,,,,,,38.2,25.9,12.3,,PMA,,Ghana 2014 PMA2020 Round 2,5766
developing,GHA ,288,Ghana,Ghana,Ghana2014,0,2014.67,2015,15-49,MW,25.61,20.78,4.83,,,,,,,,,,,32.7,22.2,10.4,,PMA,,Ghana 2014 PMA2020 Round 3,5767
